Date,App Name,iOS App Rating,iOS Total Reviews,iOS App Rank,Android App Rating,Android Total Reviews,Timestamp,Overall App Rating,Combined Total Reviews
2024-09-03,Go Kinect by Windstream,4.8,76050,,4.434343338012695,25671,2024-09-03 07:42:13.225795,4.617171669006348,101721
2024-09-03,My AltaFiber,4.8,6417,,4.651376247406006,1077,2024-09-03 07:42:13.225795,4.725688123703003,7494
2024-09-03,Spectrum Access,4.5,129,,4.21999979019165,189,2024-09-03 07:42:13.225795,4.359999895095825,318
2024-09-03,Cox App,4.6,510289,156.0,4.4588470458984375,121431,2024-09-03 07:42:13.225795,4.529423522949219,631720
2024-09-03,My Verizon App,4.6,5061212,15.0,4.581571102142334,1162783,2024-09-03 07:42:13.225795,4.590785551071167,6223995
2024-09-03,myCricket App,4.5,48910,138.0,4.21875,210575,2024-09-03 07:42:13.225795,4.359375,259485
2024-09-03,MyDISH Account,4.6,353566,,3.5268800258636475,65890,2024-09-03 07:42:13.225795,4.0634400129318236,419456
2024-09-03,T-Mobile,4.8,2588500,11.0,4.6306586265563965,941100,2024-09-03 07:42:13.225795,4.715329313278199,3529600
2024-09-03,Spectrum News,4.7,34588,71.0,4.04448127746582,6343,2024-09-03 07:42:13.225795,4.37224063873291,40931
2024-09-03,My Spectrum App,4.8,2523547,16.0,4.655288219451904,872107,2024-09-03 07:42:13.225795,4.7276441097259525,3395654
2024-09-03,MyCenturyLink,4.4,127898,,3.9932734966278076,62425,2024-09-03 07:42:13.225795,4.196636748313904,190323
2024-09-03,Visible Mobile,4.5,127740,110.0,4.4703521728515625,42331,2024-09-03 07:42:13.225795,4.485176086425781,170071
2024-09-03,SpectrumU,4.3,246,,4.43137264251709,367,2024-09-03 07:42:13.225795,4.365686321258545,613
2024-09-03,Spectrum TV App,4.7,483160,80.0,4.595739841461182,278535,2024-09-03 07:42:13.225795,4.6478699207305905,761695
2024-09-03,MyAT&T,4,3996359,26.0,2.5161266326904297,307015,2024-09-03 07:42:13.225795,3.258063316345215,4303374
2024-09-03,Spectrum SportsNet,4.7,5844,,2.992000102996826,1654,2024-09-03 07:42:13.225795,3.846000051498413,7498
2024-09-03,Mediacom Connect,3.3,7442,,3.8130979537963867,13953,2024-09-03 07:42:13.225795,3.5565489768981933,21395
2024-09-03,MyMetro,2.8,3687,45.0,3.9392149448394775,389328,2024-09-03 07:42:13.225795,3.3696074724197387,393015
2024-09-03,MyFrontier,4.5,69911,,4.381889820098877,55861,2024-09-03 07:42:13.225795,4.4409449100494385,125772
2024-09-03,Xfinity MyAccount,4.3,1095672,8.0,3.818812131881714,234619,2024-09-03 07:42:13.225795,4.059406065940857,1330291
2024-09-03,GoogleFiber,4.5,1556,,4.329192638397217,1603,2024-09-03 07:42:13.225795,4.414596319198608,3159
2024-09-03,MyViasat,4.2,1810,,3.454268217086792,3283,2024-09-03 07:42:13.225795,3.827134108543396,5093
2024-09-03,ArmStrong,3.4,24,,4.099999904632568,708,2024-09-03 07:42:13.225795,3.7499999523162844,732
2024-09-03,Astound Mobile,3,5,,3.5,13,2024-09-03 07:42:13.225795,3.25,18
2024-09-03,HughesNet Mobile,1.6,47,,3.0240964889526367,1810,2024-09-03 07:42:13.225795,2.312048244476318,1857
2024-09-03,HT MyAccount,Not Available,0,,Not Available,0,2024-09-03 07:42:13.225795,,0
2024-09-03,Midco MyAccount,1.3,49,,2.3499999046325684,344,2024-09-03 07:42:13.225795,1.824999952316284,393
2024-09-03,MyOptimum,4.4,24179,39.0,4.128602981567383,4416,2024-09-03 07:42:13.225795,4.264301490783692,28595
2024-09-03,USCellular MyAccount,4.5,48726,,4.259034156799316,30909,2024-09-03 07:42:13.225795,4.379517078399658,79635
2024-09-03,MySecTV,3.1,9,,1.7142857313156128,29,2024-09-03 07:42:13.225795,2.407142865657806,38
2024-09-03,OptimumTV,4.6,18870,,3.8113207817077637,3686,2024-09-03 07:42:13.225795,4.205660390853882,22556
2024-09-03,BreezelineTV,1.2,56,,1.9800000190734863,232,2024-09-03 07:42:13.225795,1.5900000095367433,288
2024-09-03,MyBlueRidge,4.6,4338,,4.380165100097656,1212,2024-09-03 07:42:13.225795,4.490082550048828,5550
2024-09-03,MyBuckeye,2.3,29,,2.930000066757202,108,2024-09-03 07:42:13.225795,2.615000033378601,137
2024-09-03,Mint Mobile,4.7,149787,78.0,4.67887544631958,29040,2024-09-03 07:42:13.225795,4.68943772315979,178827
2024-09-03,T-Life,4.8,461609,19.0,4.696105003356934,297674,2024-09-03 07:42:13.225795,4.748052501678467,759283
